epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,958.337,0.93616,0.70262,1.09122,1,0.9982,0.995,0.83812,0.73744,0.44591,1.06559,0.0087229,0.0087229,0.0087229
131,965.596,0.95624,0.7088,1.09837,1,0.99646,0.995,0.82398,0.72955,0.50512,1.06788,0.008713,0.008713,0.008713
132,972.884,0.92622,0.70831,1.06678,1,0.99407,0.995,0.75259,0.8256,0.54714,1.10531,0.0087031,0.0087031,0.0087031
133,980.095,0.96383,0.7009,1.07686,0.99346,0.90909,0.96687,0.76746,0.68781,0.45975,1.01969,0.0086932,0.0086932,0.0086932
134,987.362,0.9733,0.70381,1.07735,1,0.99327,0.995,0.81079,0.91897,0.53828,1.15296,0.0086833,0.0086833,0.0086833
135,994.569,0.94274,0.68407,1.07317,0.99008,0.90909,0.97571,0.77604,0.85541,0.66129,1.18008,0.0086734,0.0086734,0.0086734
136,1001.8,0.90875,0.68252,1.06186,0.98354,0.90909,0.95711,0.76505,0.81859,0.59179,1.0897,0.0086635,0.0086635,0.0086635
137,1009,0.91898,0.67964,1.08145,0.91268,1,0.9875,0.84075,0.67237,0.44842,1.02898,0.0086536,0.0086536,0.0086536
138,1016.19,0.93641,0.68746,1.07386,0.91183,1,0.9875,0.8165,0.78497,0.55059,1.09026,0.0086437,0.0086437,0.0086437
139,1023.37,0.95255,0.71482,1.08225,0.99163,1,0.995,0.84555,0.64587,0.44601,1.02361,0.0086338,0.0086338,0.0086338
140,1030.55,0.9332,0.68001,1.07869,0.912,1,0.9725,0.84907,0.67536,0.47924,1.01156,0.0086239,0.0086239,0.0086239
141,1037.75,0.95185,0.70684,1.09134,0.99361,0.90909,0.90824,0.72469,0.89611,0.64296,1.16748,0.008614,0.008614,0.008614
142,1044.88,0.94677,0.66384,1.085,0.99309,0.90909,0.935,0.74297,0.8721,0.53138,1.09674,0.0086041,0.0086041,0.0086041
143,1052.01,0.94305,0.71278,1.08405,0.91627,0.99518,0.9875,0.74504,0.84261,0.49081,1.09835,0.0085942,0.0085942,0.0085942
144,1059.19,0.92938,0.67223,1.08258,0.78529,0.99763,0.94271,0.76973,0.64938,0.6151,1.03953,0.0085843,0.0085843,0.0085843
145,1066.43,0.87881,0.64816,1.06731,1,0.90606,0.90629,0.69328,0.97581,0.70469,1.24646,0.0085744,0.0085744,0.0085744
146,1073.61,0.94205,0.68499,1.07267,0.90646,0.8828,0.94364,0.76079,0.79927,0.71346,1.17765,0.0085645,0.0085645,0.0085645
147,1080.77,0.9431,0.67881,1.0713,0.98236,0.81818,0.88827,0.69969,0.75541,0.75299,1.09124,0.0085546,0.0085546,0.0085546
148,1087.96,0.94414,0.68167,1.06562,0.91242,1,0.9875,0.80981,0.77085,0.52587,1.17995,0.0085447,0.0085447,0.0085447
149,1095.11,0.93106,0.65988,1.05929,0.99008,0.90909,0.93329,0.76429,0.85218,0.4727,1.2022,0.0085348,0.0085348,0.0085348
150,1102.36,0.91665,0.66484,1.06967,1,0.89534,0.90716,0.77612,0.74903,0.7116,1.06261,0.0085249,0.0085249,0.0085249
151,1109.5,0.91592,0.67875,1.06648,0.90909,0.90903,0.90379,0.77507,0.82499,0.74943,1.14555,0.008515,0.008515,0.008515
152,1116.66,0.92992,0.67436,1.06841,0.99395,0.90909,0.91089,0.71662,0.96882,0.60091,1.29396,0.0085051,0.0085051,0.0085051
153,1123.81,0.92509,0.64697,1.07409,0.99314,0.90909,0.91082,0.77052,0.7259,0.55871,1.05014,0.0084952,0.0084952,0.0084952
154,1130.98,0.92073,0.64879,1.07746,0.98866,0.90909,0.914,0.77135,0.75996,0.65105,1.08468,0.0084853,0.0084853,0.0084853
155,1138.31,0.89914,0.65334,1.05766,0.9962,0.90909,0.916,0.81565,0.74825,0.63433,1.09567,0.0084754,0.0084754,0.0084754
156,1145.45,0.92519,0.65564,1.06853,0.99428,0.90909,0.95711,0.80769,0.76788,0.52281,1.12105,0.0084655,0.0084655,0.0084655
157,1152.71,0.91031,0.66343,1.05984,0.99547,0.90909,0.9149,0.75641,0.77665,0.46244,1.13997,0.0084556,0.0084556,0.0084556
158,1159.82,0.92664,0.68232,1.08211,0.99312,0.90909,0.9545,0.77881,0.80913,0.53221,1.04619,0.0084457,0.0084457,0.0084457
159,1166.95,0.90852,0.65408,1.06251,1,0.99411,0.995,0.77891,0.77385,0.41759,1.09937,0.0084358,0.0084358,0.0084358
160,1174.18,0.92707,0.66182,1.07785,0.99387,0.90909,0.971,0.74209,1.00233,0.51285,1.27795,0.0084259,0.0084259,0.0084259
161,1181.4,0.91373,0.65743,1.07476,0.99497,0.90909,0.96,0.82471,0.78484,0.55893,1.09577,0.008416,0.008416,0.008416
162,1188.58,0.88869,0.63694,1.05538,0.99479,0.90909,0.96,0.79711,0.79055,0.59486,1.15712,0.0084061,0.0084061,0.0084061
163,1195.87,0.92463,0.67455,1.07227,0.99364,0.90909,0.98115,0.80071,0.72069,0.45988,1.09117,0.0083962,0.0083962,0.0083962
164,1203.04,0.91374,0.67317,1.07207,0.99367,0.90909,0.90963,0.79989,0.72669,0.50728,1.07175,0.0083863,0.0083863,0.0083863
165,1210.19,0.88931,0.6386,1.04714,0.99423,0.90909,0.90669,0.72615,0.84518,0.61201,1.2316,0.0083764,0.0083764,0.0083764
166,1217.54,0.90552,0.64648,1.04877,0.91603,0.99238,0.98,0.78141,0.80987,0.50504,1.18122,0.0083665,0.0083665,0.0083665
167,1224.75,0.91737,0.6426,1.07146,0.99418,0.90909,0.95214,0.77776,0.88443,0.58146,1.329,0.0083566,0.0083566,0.0083566
168,1231.97,0.88289,0.64126,1.05499,0.99438,0.90909,0.91027,0.78562,0.80286,0.57202,1.204,0.0083467,0.0083467,0.0083467
169,1239.12,0.93873,0.69249,1.08405,1,0.90822,0.93412,0.82498,0.67544,0.47423,1.04116,0.0083368,0.0083368,0.0083368
